"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"75686";"ekey biometric systems GmbH DE";"0.97561";"40.00";"0.10";"2024-03-19";"amber";"exposurelevel1";"52.9852";"no";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"DIY|Electronic Accessories|Electronic Superstore|Home & Garden";"Electronic Superstore";"39";"AT";"ekey startete im Jahr 2002 und ist heute Europas Nr. 1 bei Fingerprint-Zutrittslösungen. Denn während Schlüssel, Karten und Codes verloren, vergessen oder gestohlen werden können, ist der Finger immer dabei.";"https://ui.awin.com/images/upload/merchant/profile/75686.png";"https://www.ekey.net/"
"33149";"KetoMix AT";"";"0.00";"0.00";"2022-12-29";"green";"none";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty|Home & Garden";"Health & Beauty";"null";"AT";"KetoMix ist eine führende europäische Marke, die Menschen bei der Erreichung und Erhaltung ihres Idealgewichts unterstützt. - Breite Auswahl von Keto-Lebensmitteln und Diät-Packs - Mehr als 120.000 haben mit uns schon abgenommen - Individuelle Beratung";"https://ui.awin.com/images/upload/merchant/profile/33149.png";"https://www.ketomix.at/"
"10437";"Pkwteile AT";"0.521551";"77.78";"0.01";"2019-05-01";"green";"none";"35.5224";"yes";"no";"5";"10";"0";"0";"30";"Retail & Shopping";"Automotive";"Automotive";"107";"AT";"Pkwteile.at ist ein Autoteile Online-Shop und einer der größten Anbietern von Autoersatzteilen und Autozubehör in Österreich. PPS 10%.";"https://ui.awin.com/images/upload/merchant/profile/10437.png";"https://www.pkwteile.at/"
"15954";"Street One AT";"1.61513";"79.15";"0.21";"2019-09-12";"amber";"exposurelevel2";"56.5856";"yes";"no";"10";"10";"0";"0";"30";"Retail & Shopping";"Clothing|Clothing Accessories|Womenswear";"Womenswear";"58";"AT";"Wir sind ein modernes Fashion Unternehmen mit Sitz in Deutschland. Unsere Mode ist aktuell und präsentiert sich in 12 Kollektion pro Jahr. Das Partnerprogramm bietet eine attraktive Vergütung,  optimierte Werbemittel sowie einen persönlichen Support.";"https://ui.awin.com/images/upload/merchant/profile/15954.png";"https://www.street-one.at"
"17419";"Goodwheel AT";"2.63158";"66.67";"0.07";"2019-12-17";"green";"none";"67.9719";"yes";"no";"3";"3";"0";"0";"30";"Retail & Shopping";"Automotive";"Automotive";"38";"AT";"Goodwheel bietet eine riesige Auswahl an Sommer- und Winterreifen sowie an Kompletträdern. Profitieren Sie von über 13 Jahren Erfahrung. Nur bei Goodwheel finden Sie zuverlässigen Service, Zahlungssicherheit und immer einen Preisvorteil!";"https://ui.awin.com/images/upload/merchant/profile/17419.png";"https://www.goodwheel.at/"
"16499";"Amorelie AT";"8.68833";"100.00";"0.59";"2019-09-02";"amber";"exposurelevel2";"77.0808";"yes";"no";"15";"15";"0";"0";"45";"Retail & Shopping";"Erotic|Lingerie";"Erotic";"57";"AT";"Amorelie.at ist die Online-Boutique für Lovetoys, Dessous & sinnliche Lifestyle-Produkte mit einer unterhaltsamen und inspirierenden Atmosphäre.";"https://ui.awin.com/images/upload/merchant/profile/16499.png";"https://www.amorelie.at"
"16477";"vbs-hobby AT";"1.56063";"64.86";"0.02";"2019-08-27";"green";"none";"34.0854";"yes";"no";"5";"5";"0";"0";"60";"Retail & Shopping";"DIY";"DIY";"77";"AT";"Do it yourself ist ein absoluter Dauertrend. Die Möglichkeit, aus einfachen Materialien individuelle Dekorationen und Kreationen zu zaubern, Geschenke und Möbel persönlicher zu gestalten, etwas zu nähen und stricken, zieht immer mehr Kunden an.";"https://ui.awin.com/images/upload/merchant/profile/16477.png";"https://www.vbs-hobby.at"
"12649";"easyname DE";"9.84944";"91.49";"0.03";"2018-08-10";"green";"none";"89.0229";"no";"no";"0";"75";"0";"50";"30";"Telco's & Services";"Web Hosting";"Web Hosting";"45";"DE";"easyname ist ein beliebter Anbieter von Webhosting, Website & Shop und Domains. Mehr als 100.000  Kunden weltweit vertrauen auf unsere einfachen, sicheren und zuverlässigen Produkte und auf unseren individuellen Support.";"https://ui.awin.com/images/upload/merchant/profile/12649.png";"https://www.easyname.com/de"
"15612";"ab-in-den-urlaub AT";"0.764296";"81.82";"0.96";"2019-01-17";"green";"none";"37.6785";"no";"no";"4";"6";"4";"5";"30";"Travel";"Travel Agencies";"Travel Agencies";"155";"AT";"Ob als Privat- oder Geschäftsreisender, auf ab-in-den-urlaub.at finden Sie und Ihre User eine unglaubliche Vielfalt an Lastminute-und Pauschalreisen, Linien- und Charterflügen, Kurz- und Städtereisen, Ferienhäusern, Hotels und Mietwagen.";"https://ui.awin.com/images/upload/merchant/profile/15612.png";"https://www.ab-in-den-urlaub.at/"
"84333";"Parfumdreams AT";"6.6918";"97.33";"0.30";"2024-07-18";"amber";"exposurelevel2";"50.5208";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"104";"AT";"Willkommen bei Parfumdreams. Hier findest du hochwertige Pflegeprodukte von exklusiven Marken, Düfte sowie Make-up und alles rund um das Thema Schönheit. Inspirierende Inhalte und die neuesten Trends aus der Beauty-Branche.";"https://ui.awin.com/images/upload/merchant/profile/84333.png";"https://www.parfumdreams.at/"
