"Promotion ID","Advertiser","Advertiser ID","Type","Code","Description","Starts","Ends","Categories","Regions","Terms","Deeplink Tracking","Deeplink","Commission Groups","Commission","Exclusive","Date Added","Title","Campaign"
"3868521","Plankpad DE/AT","118181","voucher","NEWYEAR15","15% auf alle Artikel (außer bereits reduzierte)","04/05/2026 09:44:00","30/06/2026 09:43:00","Fitness Equipment","All Regions","-","https://www.awin1.com/cread.php?awinmid=118181&awinaffid=1896704&ued=https%3A%2F%2Fplankpad.com%2Fde%2Fcollections%2Fplankpad-balance-boards-and-training-accessories","https://plankpad.com/de/collections/plankpad-balance-boards-and-training-accessories","","","no","04/05/2026 09:44:45","15% auf alle Artikel (außer bereits reduzierte)",""
"3868301","Sportstech - AT","23711","voucher","AF-FAMILY-5","FAMILY DAYS BEI SPORTSTECH - Jetzt 5%-Gutscheincode für das gesamte Sortiment bewerben, inkl. reduzierter Artikel!","04/05/2026 08:37:00","31/05/2026 23:59:00","Fitness Equipment","Austria","Gültig bis 31.05.2026","https://www.awin1.com/cread.php?awinmid=23711&awinaffid=1896704&ued=https%3A%2F%2Fwww.sportstech.at%2Fsale","https://www.sportstech.at/sale","","","no","04/05/2026 08:37:12","Family Days - 5% auf alles bei Sportstech AT",""
"3864229","apotheke.at","28601","voucher","LOTION20","Spare 20 % beim Kauf von Cetaphil Reinigungs- und Feuchtigkeitslotion!","01/05/2026 00:01:00","30/06/2026 23:59:00","Cosmetics,Skincare","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 30.06.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Fprodukthighlights-c-908%3Fshow_multiple_pzns%3D19720613_19720671","https://www.apotheke.at/produkthighlights-c-908?show_multiple_pzns=19720613_19720671","","","no","30/04/2026 09:14:14","20 % Rabatt auf Cetaphil Lotion",""
"3864199","apotheke.at","28601","voucher","10WNTD","Endlich mit Rauchen aufhören? Mit Nicorette 10 % sparen!","01/05/2026 00:01:00","31/05/2026 23:59:00","Nutrition,Vitamins & Supplements","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 31.05.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Fprodukthighlights-c-908%3Fshow_multiple_pzns%3D01639589_01639595_01640807_01642887_03273313_03273371_03273388_03273514_03273690_03643419_03643425_03643448_03643454_07353606_07353612_07353629_07353635_08101506_08101508_08101509_08101511_08101909_08101910_08101911_08101912_08101913_08101914_08102008_08102009_08106078_08106079_08106080_08106081_08106082_08106083_08106084_08106085_08106086_08106087_08106088_08106089_09633907_10933968_17594104_17594133_18215126_18215132_18215149_18215155_18379804_18379810_19252218_19252253_19906217","https://www.apotheke.at/produkthighlights-c-908?show_multiple_pzns=01639589_01639595_01640807_01642887_03273313_03273371_03273388_03273514_03273690_03643419_03643425_03643448_03643454_07353606_07353612_07353629_07353635_08101506_08101508_08101509_08101511_08101909_08101910_08101911_08101912_08101913_08101914_08102008_08102009_08106078_08106079_08106080_08106081_08106082_08106083_08106084_08106085_08106086_08106087_08106088_08106089_09633907_10933968_17594104_17594133_18215126_18215132_18215149_18215155_18379804_18379810_19252218_19252253_19906217","","","no","30/04/2026 09:04:43","Nicorette-Special mit 10 % Rabatt auf Rauchentwöhnung",""
"3864123","apotheke.at","28601","voucher","EUCERIN20","Unsere Eucerin-Favoriten jetzt 20 % günstiger shoppen!","01/05/2026 00:01:00","31/05/2026 23:59:00","Cosmetics,Skincare","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 31.05.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Fprodukthighlights-c-908%3Fshow_multiple_pzns%3D11678159_13929074_08454700_14163929_12441459_14163898_15581586_08454746_11652964_04668723","https://www.apotheke.at/produkthighlights-c-908?show_multiple_pzns=11678159_13929074_08454700_14163929_12441459_14163898_15581586_08454746_11652964_04668723","","","no","30/04/2026 08:45:37","20 % auf Eucerin-Auswahl sparen",""
"3855427","apotheke.at","28601","voucher","ROSA20","Jetzt 20 % on top beim Kauf von Avène Rosamed Anti-Rötungen","27/04/2026 09:38:00","17/05/2026 23:59:00","Cosmetics,Skincare","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 31.05.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Favene-roetungen-c-966","https://www.apotheke.at/avene-roetungen-c-966","","","no","27/04/2026 09:38:03","20 % Rabatt auf Avène Rosamed Anti-Rötungen",""
"3836485","apotheke.at","28601","voucher","SUN20","Sommerangebot – Cetaphil Sun um 20 % reduziert","16/04/2026 11:42:00","30/06/2026 23:59:00","Cosmetics,Skincare","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 30.06.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Fprodukthighlights-c-908%3Fshow_multiple_pzns%3D14237266_14237237_14237160_14237148","https://www.apotheke.at/produkthighlights-c-908?show_multiple_pzns=14237266_14237237_14237160_14237148","","","no","16/04/2026 11:42:59","20 % auf Cetaphil Sun",""
"3836471","apotheke.at","28601","voucher","BIANACID20","Sichere dir 20 % on top auf NeoBianacid bei Sodbrennen","16/04/2026 11:38:00","15/07/2026 23:59:00","Nutrition,Vitamins & Supplements","All Regions","Nur für nicht rezeptpflichtige Produkte einlösbar. Pro Kunde kann jeweils ein Gutschein geltend gemacht werden. Gutschein ist nicht kombinierbar. Keine Barauszahlung möglich. Gutschein gültig bis 15.07.2026, 23:59 Uhr. Mindestbestellwert: € 0,01.","https://www.awin1.com/cread.php?awinmid=28601&awinaffid=1896704&ued=https%3A%2F%2Fwww.apotheke.at%2Fprodukthighlights-c-908%3Fshow_multiple_pzns%3D11173206_16956798_19503146","https://www.apotheke.at/produkthighlights-c-908?show_multiple_pzns=11173206_16956798_19503146","","","no","16/04/2026 11:38:06","20 % auf NeoBianacid bei Sodbrennen",""
"3819116","100percentpure DE/AT","13991","voucher","PrAw932","Der Frühjahrs-Gutschein von 100% Pure ist da!","06/04/2026 00:00:00","30/06/2026 23:59:00","Bodycare Appliances,Cosmetics,Fragrance,Skincare,Haircare Products,Anniversary Gifts,Birthday Gifts,Personalised Gifts,Novelty Gifts","Germany,Austria","Mindestbestellwert 40 €","https://www.awin1.com/cread.php?awinmid=13991&awinaffid=1896704&campaign=2026+q2+default+percentage&ued=https%3A%2F%2Fwww.100percentpure.de%2F","https://www.100percentpure.de/","","","no","06/04/2026 16:41:10","10% Gutschein","2026 q2 default percentage"
"3819110","100percentpure DE/AT","13991","voucher","PrAw364","Der Frühjahrs-Gutschein von 100% Pure ist da!","06/05/2026 00:00:00","30/06/2026 23:59:00","Bodycare Appliances,Cosmetics,Fragrance,Skincare,Haircare Products,Anniversary Gifts,Birthday Gifts,Personalised Gifts,Novelty Gifts","Germany,Austria","Mindestbestellwert 40 €","https://www.awin1.com/cread.php?awinmid=13991&awinaffid=1896704&campaign=voucher+code+push&ued=https%3A%2F%2Fwww.100percentpure.de%2F","https://www.100percentpure.de/","","","no","06/04/2026 16:16:41","6 € Gutschein","voucher code push"
